Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"APPLE iPhone 14 Plus (Blue, 256 GB)",4.6,256,17.02,A15,15369.0,929.0,86999
"APPLE iPhone 12 (Red, 64 GB)",4.6,64,15.49,A14,190638.0,12876.0,49999
"APPLE iPhone 14 Pro Max (Deep Purple, 256 GB)",4.6,256,17.02,A16,1985.0,145.0,137999
"APPLE iPhone SE (Black, 256 GB)",4.5,256,11.94,A13,154498.0,12077.0,40990
"APPLE iPhone 14 Pro (Gold, 256 GB)",4.6,256,15.49,A16,1781.0,130.0,129999
"APPLE iPhone SE 3rd Gen (Midnight, 256 GB)",4.4,256,11.94,A15,900.0,,46599
"APPLE iPhone 13 mini (Green, 128 GB)",4.5,128,13.72,A15,3497.0,302.0,61999
"Apple iPhone XR (White, 256 GB) (Includes EarPods, Power Adapter)",4.6,256,15.49,A12,100918.0,8544.0,91900
"APPLE iPhone 13 Pro (Alpine Green, 512 GB)",4.7,512,15.49,A15,1483.0,122.0,125999
"APPLE iPhone 13 mini (Green, 256 GB)",4.5,256,13.72,A15,3497.0,302.0,71999
"APPLE iPhone 13 mini ((PRODUCT)RED, 128 GB)",4.5,128,13.72,A15,3497.0,302.0,61999
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone SE (White, 128 GB)",4.5,128,11.94,A13,154498.0,12077.0,32990
"APPLE iPhone 13 Pro (Alpine Green, 256 GB)",4.7,256,15.49,A15,1483.0,122.0,129900
"APPLE iPhone 13 mini (Blue, 256 GB)",4.5,256,13.72,A15,3497.0,302.0,71999
"APPLE iPhone 13 Pro Max (Gold, 256 GB)",4.6,256,17.02,A15,1921.0,184.0,139900
"APPLE iPhone 13 Pro (Silver, 256 GB)",4.7,256,15.49,A15,1483.0,122.0,129900
"APPLE iPhone SE (Red, 128 GB)",4.5,128,11.94,A13,154498.0,12077.0,32990
"APPLE iPhone 14 Pro Max (Gold, 256 GB)",4.6,256,17.02,A16,1985.0,145.0,137999
"APPLE iPhone 14 Pro Max (Space Black, 512 GB)",4.6,512,17.02,A16,1985.0,145.0,157999
"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)",4.6,256,17.02,A15,15369.0,929.0,86999
"APPLE iPhone 14 Pro (Deep Purple, 256 GB)",4.6,256,15.49,A16,1781.0,130.0,129999
"APPLE iPhone 13 mini (Green, 512 GB)",4.5,512,13.72,A15,3497.0,302.0,91999
"APPLE iPhone 14 Pro Max (Gold, 512 GB)",4.6,512,17.02,A16,1985.0,145.0,157999
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.5,A12,100918.0,8544.0,36999
"APPLE iPhone XR (Black, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,36999
"Apple iPhone XR (Black, 256 GB) (Includes EarPods, Power Adapter)",4.6,256,15.49,A12,100918.0,8544.0,91900
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone 14 Plus (Yellow, 256 GB)",4.6,256,17.02,A15,15369.0,929.0,86999
"APPLE iPhone SE (Red, 256 GB)",4.5,256,11.94,A13,154498.0,12077.0,40990
"Apple iPhone XR ((PRODUCT)RED, 256 GB) (Includes EarPods, Power Adapter)",4.6,256,15.49,A12,100918.0,8544.0,91900
"APPLE iPhone 11 (Purple, 128 GB)",4.6,128,15.49,A13,200360.0,11406.0,40999
"Apple iPhone XR (Blue, 256 GB) (Includes EarPods, Power Adapter)",4.6,256,15.49,A12,100918.0,8544.0,91900
"APPLE iPhone 14 Plus (Starlight, 256 GB)",4.6,256,17.02,A15,15369.0,929.0,86999
"Apple iPhone XR (Coral, 256 GB) (Includes EarPods, Power Adapter)",4.6,256,15.49,A12,100918.0,8544.0,91900
"APPLE iPhone XS Max (Space Grey, 512 GB)",4.6,512,16.51,A12,1453.0,146.0,144900
"APPLE iPhone XS Max (Silver, 512 GB)",4.6,512,16.51,A12,1453.0,146.0,144900
"APPLE iPhone 6s (Gold, 16 GB)",4.5,16,11.94,,93095.0,9228.0,41999
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone 14 Pro (Silver, 256 GB)",4.6,256,15.49,A16,1781.0,130.0,129999
"APPLE iPhone 14 Pro Max (Space Black, 256 GB)",4.6,256,17.02,A16,1985.0,145.0,137999
"APPLE iPhone 13 (Midnight, 512 GB)",4.7,512,15.49,A15,255205.0,12592.0,84999
"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)",4.6,256,17.02,A15,1921.0,184.0,139900
"APPLE iPhone 14 Plus (Starlight, 512 GB)",4.6,512,17.02,A15,15369.0,929.0,106999
"APPLE iPhone 12 (Blue, 256 GB)",4.6,256,15.49,A14,190638.0,12876.0,64999
"APPLE iPhone 14 Pro (Deep Purple, 512 GB)",4.6,512,15.49,A16,1781.0,130.0,149999
"APPLE iPhone 13 Pro Max (Silver, 512 GB)",4.6,512,17.02,A15,1921.0,184.0,134999
"APPLE iPhone 13 Pro Max (Graphite, 512 GB)",4.6,512,17.02,A15,1921.0,184.0,134999
"APPLE iPhone 12 (Purple, 256 GB)",4.6,256,15.49,A14,190638.0,12876.0,64999
"APPLE iPhone 13 Pro (Gold, 512 GB)",4.7,512,15.49,A15,1483.0,122.0,125999
"APPLE iPhone 11 (Purple, 64 GB)",4.6,64,15.49,A13,200360.0,11406.0,37999
"APPLE iPhone 13 Pro Max (Silver, 1 TB)",4.6,1,17.02,A15,1921.0,184.0,145999
"APPLE iPhone 13 Pro (Silver, 1 TB)",4.7,1,15.49,A15,1483.0,122.0,135999
"APPLE iPhone 13 Pro (Gold, 1 TB)",4.7,1,15.49,A15,1483.0,122.0,135999
"APPLE iPhone 13 Pro Max (Gold, 1 TB)",4.6,1,17.02,A15,1921.0,184.0,145999
"APPLE iPhone 13 (Starlight, 512 GB)",4.7,512,15.49,A15,255205.0,12592.0,84999
"APPLE iPhone 14 (Yellow, 512 GB)",4.6,512,15.49,A15,48180.0,1833.0,97999
"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)",4.6,1,17.02,A15,1921.0,184.0,145999
"APPLE iPhone 13 mini (Blue, 128 GB)",4.5,128,13.72,A15,3497.0,302.0,61999
"APPLE iPhone 14 Pro (Gold, 1 TB)",4.6,1,15.49,A16,1781.0,130.0,169999
"APPLE iPhone 13 Pro Max (Alpine Green, 512 GB)",4.6,512,17.02,A15,1921.0,184.0,134999
"APPLE iPhone 13 Pro (Graphite, 1 TB)",4.7,1,15.49,A15,1483.0,122.0,135999
"APPLE iPhone SE 3rd Gen (Midnight, 128 GB)",4.4,128,11.94,A15,900.0,,54900
"APPLE iPhone 13 Pro (Sierra Blue, 1 TB)",4.7,1,15.49,A15,1483.0,122.0,135999
"APPLE iPhone XS Max (Silver, 512 GB)",4.6,512,16.51,A12,1453.0,146.0,144900
"APPLE iPhone 6s (Gold, 16 GB)",4.5,16,11.94,,93095.0,9228.0,41999
"APPLE iPhone 14 Pro (Silver, 256 GB)",4.6,256,15.49,A16,1781.0,130.0,129999
